#,FECHA,MES,A—O,HORA,CAUSAS DE SINIESTRO,TIPOLOGIA,FALLECIDOS,LESIONADOS,ZONA,TIPO ZONA,PARROQUIA,CIRCUITO,TIPO DE VEH√çCULO,TIPO VEH√çCULO 2,TIPO VEH√çCULO 2 2,DIRECCI”N,GRUPO,LATITUD,LONGITUD,# PARTE,DIA
1175,9/11/2014,NOVIEMBRE,2014,13:50,EXCESO DE VELOCIDAD,ATROPELLO,1,0,S/D,RURAL,TARQUI,S/D,AUTOMOVIL,S/D,S/D,PANAMERICANA NORTE Y VIA A CHUALLAYACU,S/G,-2.969223,-79.022476,5942,DOMINGO
1257,4/12/2014,DICIEMBRE,2014,13:20,NO CEDER EL DERECHO DE VÕA O PREFERENCIA DE PASO AL PEAT”N ,ATROPELLO,1,0,SUR,RURAL,EL BATAN ,S/D,,S/D,S/D,01 DE SEPTIEMBRE Y  S/N,S/G,-2.898727,-79.011435,6327,JUEVES
1270,8/12/2014,DICIEMBRE,2014,11:20,NO CEDER EL DERECHO DE VÕA O PREFERENCIA DE PASO AL PEAT”N ,ATROPELLO,1,0,NORTE,URBANO,BELLAVISTA,S/D,,S/D,S/D,AV. AMERICAS ENTRE CORONEL TALBOT Y MIGUEL VELEZ,S/G,-2.887720,-79.010030,6377,LUNES
1351,4/1/2015,ENERO,2015,19:08,NO CEDER EL DERECHO DE VÕA O PREFERENCIA DE PASO AL PEAT”N ,ATROPELLO,1,0,S/D,RURAL,TOTORACOCHA,S/D,,S/D,S/D,HEROES DEL CENEPA Y VIA A MAYANCELA ,D,-2.687502,-78.979173,6727,DOMINGO
1354,5/1/2015,ENERO,2015,15:08,IMPRUDENCIA DEL PEATON,ATROPELLO,1,0,S/D,URBANO,YANUNCAY,S/D,,S/D,S/D,BOLIVAR Y VARGAS MACHUCA ,D,-2.915785,-79.009793,6734,LUNES
1371,11/1/2015,ENERO,2015,7:21,CONDUCE BAJO LA INFLUENCIA DE ALCOHOL,CHOQUE LATERAL,1,0,SUR,URBANO,MONAY,S/D,,S/D,S/D,JOSE ORTEGA Y PEDRO LOPEZ,D,,,6827,DOMINGO
1383,15/1/2015,ENERO,2015,16:00,CONDUCIR EN ESTADO DE SOMNOLENCIA,ARROLLAMIENTO,1,0,S/D,RURAL,YANUNCAY,S/D,,S/D,S/D,A 500 MTS PANAMERICANA NORTE CONTRUCCION TERMINAL CUENCA FRENDTE POLIDUCTO PASCUALES CUENCA ,B,-2.914686,-79.027488,6873,JUEVES
1385,16/1/2015,ENERO,2015,14:59,NO RESPETA LAS SE√ëALES DE TR√ÅNSITO,CHOQUE LATERAL,1,0,SUR,URBANO,QUINGEO,S/D,,S/D,S/D,UNIDAD NACIONAL Y EL BATAN,A,-3.046908,-78.909008,6882,VIERNES
1403,21/1/2015,ENERO,2015,20:30,EXCESO DE VELOCIDAD,PERDIDA DE PISTA ,1,0,NORTE,URBANO,BELLAVISTA,S/D,,S/D,S/D,AV. AM…RICAS E INDEPENDENCIA,D,-2.889056,-79.018972,6961,MIERCOLES
1434,8/2/2015,FEBRERO,2015,0:08,NO CEDER EL DERECHO DE VÕA O PREFERENCIA DE PASO AL PEAT”N ,ATROPELLO,1,0,S/D,RURAL,YANUNCAY,S/D,,S/D,S/D,PANAMERICANA NORTE Y VÕA A PACCHA,C,-2.930922,-78.966000,7211,DOMINGO
